HTML
<p>I have my gym class _____ Wednesdays.</p>,1,one,
,<p>in</p>
,<p>at</p>
*,<p>on</p>
<p>I started work this morning _____ 8 am.</p>,1,one,
,<p>in</p>
*,<p>at</p>
,<p>on</p>
<p>Are you going away _____ Easter?</p>,1,one,
,<p>in</p>
*,<p>at</p>
,<p>on</p>
<p>Moria's birthday is _____ September 24<sup>th</sup>.</p>,1,one,
,<p>in</p>
,<p>at</p>
*,<p>on</p>
<p>We're flying to Beijing _____ June 2<sup>nd</sup>.</p>,1,one,
,<p>in</p>
,<p>at</p>
*,<p>on</p>
<p>Please visit me _____ Sunday.</p>,1,one,
,<p>in</p>
,<p>at</p>
*,<p>on</p>
<p>My flight is _____ Monday.</p>,1,one,
,<p>in</p>
,<p>at</p>
*,<p>on</p>
<p>There are lots of managers _____ my company.</p>,1,one,
*,<p>in</p>
,<p>at</p>
,<p>on</p>
<p>Mary went on holiday _____ Monday.</p>,1,one,
,<p>in</p>
,<p>at</p>
*,<p>on</p>
<p>His office is _____ the top of the stairs.</p>,1,one,
,<p>in</p>
*,<p>at</p>
,<p>on</p>
