HTML
<p>Where were you _____ February 22<sup>nd</sup>?</p>,~1,many,
,<p>at</p>
*,<p>on</p>
,<p>in</p>
<p>He is taking his driving test _____ four o'clock.</p>,~1,many,
*,<p>at</p>
,<p>on</p>
,<p>in</p>
<p>Mike is coming _____ three days.</p>,~1,many,
,<p>at</p>
,<p>on</p>
*,<p>in</p>
<p>He rests _____ weekends but works hard from Monday till Friday.</p>,~1,many,
*,<p>at</p>
,<p>on</p>
,<p>in</p>
<p>Women wore long skirts _____ those days.</p>,~1,many,
,<p>at</p>
,<p>on</p>
*,<p>in</p>
<p>Good bye! See you _____ Friday.</p>,~1,many,
,<p>at</p>
*,<p>on</p>
,<p>in</p>
<p>It's nice to be here _____ such a lovely day.</p>,~1,many,
,<p>at</p>
*,<p>on</p>
,<p>in</p>
<p>My brother is a doctor. He often comes home late _____ night.</p>,~1,many,
*,<p>at</p>
,<p>on</p>
,<p>in</p>
<p>My sister got married _____ May.</p>,~1,many,
,<p>at</p>
,<p>on</p>
*,<p>in</p>
<p>She came to Paris _____ the end of August _____ 1972.</p>,~1,many,
*,<p>at</p>
,<p>on</p>
*,<p>in</p>
