HTML
<p>My school starts____8.00.</p>,1,one,
*,<p>at</p>
,<p>on</p>
,<p>in</p>
<p>He was born ___ the 5th of June.</p>,1,one,
,<p>in</p>
*,<p>on</p>
,<p>at</p>
<p>We have Art ____Monday.</p>,1,one,
,<p>in</p>
,<p>at</p>
*,<p>on</p>
<p>The 1st lesson ___ Wednesday is Music.</p>,1,one,
*,<p>on</p>
,<p>in</p>
,<p>at</p>
<p>I get up ____ 7 o’clock.</p>,1,one,
,<p>in</p>
*,<p>at</p>
,<p>on</p>
<p>We have New Year____ the 1st of January.</p>,1,one,
,<p>at</p>
,<p>in</p>
*,<p>on</p>
<p>I have an English lesson ___ Monday. </p>,1,one,
*,<p>on</p>
,<p>in</p>
,<p>at</p>
<p>School year starts ___ September. </p>,1,one,
,<p>at</p>
*,<p>in</p>
,<p>on</p>
<p>The movie starts ___ 6:30. </p>,1,one,
,<p>on</p>
,<p>in</p>
*,<p>at</p>
<p>It gets quiet ___ night. </p>,1,one,
*,<p>at</p>
,<p>on</p>
,<p>in</p>
<p>___ Christmas Day all our family gather together. </p>,1,one,
,<p>In</p>
*,<p>On</p>
,<p>At</p>
<p>Dad likes reading the news ___ lunchtime. </p>,1,one,
,<p>in</p>
,<p>on</p>
*,<p>at</p>
