HTML
<p>Is your native town located _____ Moscow and St. Petersburg?</p>,1,one,
*,<p>between</p>
,<p>to</p>
,<p>with</p>
<p>A professor recently came _____ an unknown poem by Shakespeare while he was looking through an old book. </p>,1,one,
,<p>out</p>
,<p>for</p>
*,<p>across</p>
<p>He has had a bad day-in addition _____ being late for school he forgot his homework. </p>,1,one,
,<p>out</p>
*,<p>to</p>
,<p>down</p>
<p>One of the main disadvantages _____ the old machine was that it used up so much electricity. </p>,1,one,
*,<p>of</p>
,<p>with</p>
,<p>under</p>
"<p>I really need your help, so don't let me _____ , please. </p>",1,one,
,<p>between</p>
*,<p>down</p>
,<p>across</p>
<p>The common people of England had to struggle _____ their rights. </p>,1,one,
,<p>out</p>
*,<p>for</p>
,<p>to</p>
<p>Their friendship ended _____ the quarrel they had last month. </p>,1,one,
,<p>under</p>
,<p>across</p>
*,<p>with</p>
<p>It's supposed to be a clear and beautiful evening tonight. We don't need a tent. We can just sleep _____ the stars. </p>,1,one,
*,<p>under</p>
,<p>for</p>
,<p>down</p>
<p>Don't worry. I have forgiven you for not showing up for dinner. It is water _____ the bridge. </p>,1,one,
*,<p>under</p>
,<p>between</p>
,<p>of</p>
<p>That photograph is really _____ of focus. It's really blurry and I can't tell who is in the picture. </p>,1,one,
,<p>to</p>
,<p>across</p>
*,<p>out</p>
