HTML
<p>He must......................the words.</p>,1,one,
,<p>learns</p>
,<p>to learn</p>
*,<p>learn</p>
<p>I have already bought those books. I................take them from library.</p>,1,one,
,<p>mustn't</p>
*,<p>don't have to</p>
,<p>must</p>
<p>You..................play with fire.</p>,1,one,
*,<p>mustn't</p>
,<p>don't have to</p>
,<p>must</p>
<p>He was late yesterday. He.........................take a taxi.</p>,1,one,
*,<p>had to</p>
,<p>has to</p>
,<p>must</p>
<p>I'm sure the teacher will ask me at the next lesson. I.......................to learn everyone. </p>,1,one,
,<p>must</p>
,<p>had</p>
*,<p>shall have</p>
<p>He has got The key. I................give him key.</p>,1,one,
,<p>mustn't</p>
*,<p>don't have to</p>
,<p>must</p>
<p>You...........................open the box. It's dangerous.</p>,1,one,
*,<p>mustn't</p>
,<p>don't have to</p>
,<p>must</p>
<p>She must.............the tests.</p>,1,one,
,<p>writes</p>
,<p>to write</p>
*,<p>write</p>
<p>Jonathan was ill. He...................stay at home yesterday.</p>,1,one,
,<p>must</p>
,<p>has to</p>
*,<p>had to</p>
<p>I'm sure he will ask me to meet the group. I'll..................go to the airport.</p>,1,one,
,<p>must</p>
,<p>had to</p>
*,<p>have to</p>
<p>He was ill. He..............go to the doctor yesterday.</p>,1,one,
,<p>must</p>
,<p>has to</p>
*,<p>had to</p>
<p>I'm sure they will invite us to the party. We'll...............go.</p>,1,one,
,<p>must</p>
,<p>had to</p>
*,<p>have to</p>
<p>Mr Adams has called the police. We...................do it.</p>,1,one,
,<p>mustn't</p>
*,<p>don't have to</p>
,<p>must</p>
<p>You.................swim here. It's dangerous.</p>,1,one,
,<p>must</p>
,<p>don't have to</p>
*,<p>mustn't</p>
<p>I'm nit sure that is a shop there. We'll.......................buy everything here.</p>,1,one,
,<p>must</p>
,<p>had to</p>
*,<p>have to</p>
<p>He didn't have any money. He.................walk.</p>,1,one,
,<p>must</p>
,<p>has to</p>
*,<p>had to</p>
<p>We have had lunch at school. We.....................cook lunch at home.</p>,1,one,
,<p>must</p>
*,<p>don't have to</p>
,<p>mustn't</p>
<p>You......................stand here. It's dangerous.</p>,1,one,
*,<p>mustn't</p>
,<p>don't have to</p>
,<p>must</p>
