HTML
<p> </p>,~1,,
,<p>Comfort</p>,<p>-able</p>
,<p>Child</p>,<p>-ish</p>
,<p>Rely</p>,<p>-able</p>
,<p>Culture</p>,<p>-al</p>
,<p>Music</p>,<p>-al</p>
,<p>Fool</p>,<p>-ish</p>
,<p>Atom</p>,<p>-ic</p>
,<p>Science</p>,<p>-ic</p>
,<p>Hero</p>,<p>-ic</p>
,<p>Prefer</p>,<p>-able</p>
<p> </p>,~1,,
,<p>Dirt</p>,<p>-y</p>
,<p>Danger</p>,<p>-ous</p>
,<p>Care</p>,<p>-ful</p>
,<p>Dust</p>,<p>-y</p>
,<p>Dead</p>,<p>-ly</p>
,<p>Sleep</p>,<p>-y</p>
,<p>Skill</p>,<p>-ful</p>
,<p>Use</p>,<p>-ful</p>
,<p>Brother</p>,<p>-ly</p>
,<p>Friend</p>,<p>-ly</p>
