HTML
<p>When we came the game was _____ .</p>,1,one,
,<p>to</p>
,<p>by</p>
*,<p>over</p>
,<p>into</p>
<p>He went _____ school.</p>,1,one,
*,<p>to</p>
,<p>by</p>
,<p>over</p>
,<p>into</p>
<p>The book was brought _____ the girl.</p>,1,one,
,<p>to</p>
*,<p>by</p>
,<p>over</p>
,<p>into</p>
<p>The pencil belongs _____ me.</p>,1,one,
*,<p>to</p>
,<p>by</p>
,<p>over</p>
,<p>into</p>
<p>The document was signed _____ the director.</p>,1,one,
,<p>to</p>
*,<p>by</p>
,<p>over</p>
,<p>into</p>
<p>The ball fell _____ the water.</p>,1,one,
,<p>to</p>
,<p>by</p>
,<p>over</p>
*,<p>into</p>
<p>He quickly climbed _____ the fence.</p>,1,one,
,<p>to</p>
,<p>by</p>
*,<p>over</p>
,<p>into</p>
<p>The sunny weather will be all _____ the country.</p>,1,one,
,<p>to</p>
,<p>by</p>
*,<p>over</p>
,<p>into</p>
<p>She went _____ the river.</p>,1,one,
*,<p>to</p>
,<p>by</p>
,<p>over</p>
,<p>into</p>
<p>The pupils came _____ the classroom.</p>,1,one,
,<p>to</p>
,<p>by</p>
,<p>over</p>
*,<p>into</p>
