HTML
<p>Turn left when you come _____ the wood.</p>,1,one,
,<p>by</p>
*,<p>out of</p>
,<p>off</p>
,<p>of</p>
<p>He got _____ the bus at the wrong bus-stop.</p>,1,one,
,<p>by</p>
,<p>out of</p>
*,<p>off</p>
,<p>of</p>
<p>His nephew was a little boy _____ five.</p>,1,one,
,<p>by</p>
,<p>out of</p>
,<p>off</p>
*,<p>of</p>
<p>Have you read any books _____ Jack London?</p>,1,one,
*,<p>by</p>
,<p>out of</p>
,<p>off</p>
,<p>of</p>
<p>Tom always goes to school _____ bus.</p>,1,one,
*,<p>by</p>
,<p>out of</p>
,<p>off</p>
,<p>of</p>
<p>This is a photo _____ my parents.</p>,1,one,
,<p>by</p>
,<p>out of</p>
,<p>off</p>
*,<p>of</p>
<p>Excuse me; I have to get _____ at the next station.</p>,1,one,
,<p>by</p>
,<p>out of</p>
*,<p>off</p>
,<p>of</p>
<p>Nick took the keys _____ the bag.</p>,1,one,
,<p>by</p>
*,<p>out of</p>
,<p>off</p>
,<p>of</p>
<p>He says he has never seen any paintings _____ Turner.</p>,1,one,
*,<p>by</p>
,<p>out of</p>
,<p>off</p>
,<p>of</p>
"<p>Sorry, I did it _____ mistake.</p>",1,one,
*,<p>by</p>
,<p>out of</p>
,<p>off</p>
,<p>of</p>
