HTML
<p>They really (to have) a wonderful time with their friends last week.</p>,1,one,
*,<p>had</p>
,<p>haved</p>
,<p>haded</p>
<p>Where (to be) they yesterday?</p>,1,one,
,<p>was</p>
,<p>beed</p>
*,<p>were</p>
<p>At the last lesson we (to write) a dictation.</p>,1,one,
,<p>writed</p>
*,<p>wrote</p>
,<p>wroted</p>
<p>Last month we (to do) a lot of exercises.</p>,1,one,
,<p>doed</p>
,<p>does</p>
*,<p>did</p>
<p>Nick (to go) to the blackboard last month.</p>,1,one,
,<p>goed</p>
*,<p>went</p>
,<p>wented</p>
<p>I (to eat) a sandwich last morning.</p>,1,one,
*,<p>ate</p>
,<p>eated</p>
,<p>eats</p>
<p>I (to drink) a cup of tea yesterday.</p>,1,one,
,<p>drinked</p>
,<p>dranked</p>
*,<p>drank</p>
<p>Last Tuesday she (to get up) at half past six. </p>,1,one,
,<p>getted up</p>
*,<p>got up</p>
,<p>geted up</p>
<p>Last morning my son (to leave) home for school.</p>,1,one,
*,<p>left</p>
,<p>leaved</p>
,<p>lefted</p>
<p>My husband (to read) newspapers yesterday.</p>,1,one,
,<p>readed</p>
*,<p>read</p>
,<p>readded</p>
<p>At about eleven o’clock yesterday we (to go) to bed.</p>,1,one,
*,<p>went</p>
,<p>goed</p>
,<p>wented</p>
<p>Last morning Boris (to wake up) when it was already quite light.</p>,1,one,
,<p>waked up</p>
,<p>woked up</p>
*,<p>woke up</p>
