HTML
<p>Don't be angry _____ me. I didn't want to do it.</p>,~1,many,
,<p>of</p>
*,<p>with</p>
,<p>about</p>
,<p>for</p>
<p>It's not easy to get rid _____ bad habits.</p>,~1,many,
*,<p>of</p>
,<p>with</p>
,<p>about</p>
,<p>for</p>
<p>This town is famous _____ its hand-woven carpets.</p>,~1,many,
,<p>of</p>
,<p>with</p>
,<p>about</p>
*,<p>for</p>
<p>He seems not to be afraid _____ anything.</p>,~1,many,
*,<p>of</p>
,<p>with</p>
,<p>about</p>
,<p>for</p>
<p>She said she was sorry _____ breaking the window.</p>,~1,many,
,<p>of</p>
,<p>with</p>
*,<p>about</p>
,<p>for</p>
<p>I am sorry _____ the animals in a cage.</p>,~1,many,
,<p>of</p>
,<p>with</p>
,<p>about</p>
*,<p>for</p>
<p>We've run out _____ milk.</p>,~1,many,
*,<p>of</p>
,<p>with</p>
,<p>about</p>
,<p>for</p>
<p>The film was not popular _____ the public.</p>,~1,many,
,<p>of</p>
*,<p>with</p>
,<p>about</p>
,<p>for</p>
<p>He is not ashamed _____ what he did. In fact he seems to be proud _____ it.</p>,~1,many,
*,<p>of/of</p>
,<p>with/about</p>
,<p>about/for</p>
,<p>for/for</p>
<p>The bus was crowded _____ people.</p>,~1,many,
,<p>of</p>
*,<p>with</p>
,<p>about</p>
,<p>for</p>
