HTML
<p>___ Seoul is the capital of South Korea.</p>,1,one,
,<p>A</p>
,<p>An</p>
,<p>The</p>
*,<p>-</p>
<p>Most people who live in ___ small town are happy. </p>,1,one,
*,<p>a</p>
,<p>an</p>
,<p>the</p>
,<p>-</p>
<p>I have been playing ___ tennis for three years.</p>,1,one,
,<p>a</p>
,<p>an</p>
,<p>the</p>
*,<p>-</p>
<p>We had ___ really good time at the park.</p>,1,one,
*,<p>a</p>
,<p>an</p>
,<p>the</p>
,<p>-</p>
<p>I am ___ only person here who speaks German.</p>,1,one,
,<p>a</p>
,<p>an</p>
*,<p>the</p>
,<p>-</p>
<p>Look at ___ time! We're going to be late!</p>,1,one,
,<p>a</p>
,<p>an</p>
*,<p>the</p>
,<p>-</p>
<p>I have borrowed ___ money from her before.</p>,1,one,
,<p>a</p>
,<p>an</p>
,<p>the</p>
*,<p>-</p>
<p>Most people who live in ___ Italy are Catholic.</p>,1,one,
,<p>a</p>
,<p>an</p>
,<p>the</p>
*,<p>-</p>
<p>I have ___ horse.</p>,1,one,
*,<p>a</p>
,<p>an</p>
,<p>the</p>
,<p>-</p>
<p>I've never been to ___ mountains.</p>,1,one,
,<p>a</p>
,<p>an</p>
*,<p>the</p>
,<p>-</p>
