HTML
<p>  </p>,~1,,
,<p>When she looked out of the window ...</p>,<p>... it was raining heavily.</p>
,<p>I wonder ...</p>,<p>... what we will be doing in a year's time.</p>
,<p>I've finished my work ...</p>,"<p>... have a look at it, please.</p>"
,<p>Tell me how ...</p>,<p>... I'll recognise your brother.</p>
,<p>I bought a new house last year ...</p>,<p>... I have not sold my house yet.</p>
,<p>I was afraid he would be angry if ...</p>,<p>... we didn't finish the work in time.</p>
,<p>When they were crossing the street ...</p>,<p>... a woman came towards them and asked the way to the Russian Museum.</p>
,<p>She is going to post the letter ...</p>,<p>... she has just written.</p>
,<p>I did not call him because ...</p>,<p>... I thought he was busy.</p>
,<p>I can't go to the disco because ...</p>,<p>... I haven't done my homework yet.</p>
