HTML
"<p>Could I speak _____ Betty, please.</p>",1,one,
,<p>with</p>
*,<p>to</p>
<p>The plane arrived _____ London at 7 p.m.</p>,1,one,
*,<p>in</p>
,<p>to</p>
<p>Have you been _____ the theatre recently.</p>,1,one,
,<p>in</p>
*,<p>to</p>
<p>_____ the beginning of the book the author described the scene in a masterly way.</p>,1,one,
,<p>In</p>
*,<p>At</p>
<p>I'm returning _____ France in October.</p>,1,one,
,<p>in</p>
*,<p>to</p>
<p>_____ the daytime there are a lot of traffic jams there.</p>,1,one,
*,<p>In</p>
,<p>At</p>
<p>He's always _____ bad temper.</p>,1,one,
*,<p>in</p>
,<p>at</p>
<p>The monster is supposed to live _____ the bottom of the pond.</p>,1,one,
,<p>in</p>
*,<p>at</p>
<p>I'm going _____ Rome on Monday.</p>,1,one,
*,<p>to</p>
,<p>at</p>
<p>Are you going _____ train?</p>,1,one,
,<p>in</p>
*,<p>by</p>
