HTML
<p>I wish I____________in the countryside. The city is so noisy! </p><p>(feel/give/have/live/spend/wear) </p>,1,,
*,lived
*,could live
<p>Tracy has got curly hair but she often wishes she____________straight hair. </p><p>(feel/give/have/live/spend/wear) </p>,1,,
*,had
"<p>I wish our teachers____________us less homework every day, but there's nothing!</p><p>(feel/give/have/live/spend/wear) </p>",1,,
*,gave
*,would give
"<p>I wish I_______________so scared, but i do! </p><p>(feel/give/have/live/spend/wear) </p>",1,,
*,didn't feel
<p>Do you wish you______________contact lenses or are you happy with glasses? </p><p>(feel/give/have/live/spend/wear) </p>,1,,
*,wore
<p>Jake's mum wishes he______________so much money on clothes whenever he goes shopping. </p><p>(feel/give/have/live/spend/wear) </p>,1,,
*,didn't spend
*,wouldn't spend
