HTML
<p>___ you like to play with your toys?</p>,1,one,
*,<p>Do</p>
,<p>Does</p>
<p>___ Al like his blue ball?</p>,1,one,
,<p>Do</p>
*,<p>Does</p>
<p>___ your sister like to play tag?</p>,1,one,
,<p>Do</p>
*,<p>Does</p>
<p>___ his friends like to play leap-frog?</p>,1,one,
*,<p>Do</p>
,<p>Does</p>
<p>___ Kate like to play with her yellow bear?</p>,1,one,
,<p>Do</p>
*,<p>Does</p>
<p>___ Pam and Sam like their cat?</p>,1,one,
*,<p>Do</p>
,<p>Does</p>
<p>___ Abby like to play hide-and-sike?</p>,1,one,
,<p>Do</p>
*,<p>Does</p>
<p>___ her uncle like his dog?</p>,1,one,
,<p>Do</p>
*,<p>Does</p>
<p>___ you play tag with your dog?</p>,1,one,
*,<p>Do</p>
,<p>Does</p>
<p>___ Billy want to play tag?</p>,1,one,
,<p>Do</p>
*,<p>Does</p>
