HTML
<p>Look at those black clouds. It ______ rain.</p>,1,one,
,<p>is not going to </p>
,<p>will</p>
*,<p>is going to</p>
<p>Those shoes are well-made. They ____ last a long time.</p>,1,one,
,<p>will not</p>
*,<p>will</p>
,<p>is going to</p>
<p>What are your plans for your future job? - I________a teacher. </p>,1,one,
,<p>will be</p>
,<p>are being </p>
*,<p>am going to be</p>
<p>- Why are you turning on the TV? - I _____ watch the news.</p>,1,one,
*,<p>am going to</p>
,<p>will</p>
,<p>am not going</p>
<p>Greta is still sleeping. She__________late for work. </p>,1,one,
,<p>will be</p>
*,<p>is going to be</p>
,<p>is being </p>
<p>The hotel__________5 workers. </p>,1,one,
*,<p>will have</p>
,<p>is having</p>
,<p>is going to have</p>
<p>- I don't know how to use the washing machine. - It's easy. I ____ show you.</p>,1,one,
*,<p>will</p>
,<p>am going to</p>
,<p>is going to</p>
"<p>- Where are you going? Are you going shopping? - Yes, I ______ buy some things for dinner tonight.</p>",1,one,
*,<p>am going to</p>
,<p>will</p>
,<p>is going to</p>
"<p>- Did you call Liza? - Oh, no. I completely forgot. I ____ call her now.</p>",1,one,
,<p>are going to</p>
*,<p>will</p>
,<p>am going to</p>
<p>- I _____ make some coffee? - Would you like some?</p>,1,one,
,<p>will</p>
*,<p>am going to</p>
,<p>is going to</p>
<p>The teacher _________ pupils good marks.</p>,1,one,
,<p>is going to give </p>
,<p>is giving </p>
*,<p>will give</p>
"<p>- I ___ see you at 10:30 at the hotel lobby, OK?</p>",1,one,
,<p>will not</p>
*,<p>will</p>
,<p>am going</p>
