HTML
<p>Question</p>,~1,,
,<p>He wrapped _____ in his blanket and fell off to sleep.</p>,<p>himself</p>
,<p>She cooked _____ a big meal.</p>,<p>herself</p>
,<p>I cut _____ with a knife.</p>,<p>myself</p>
,<p>Be careful! That plate is very hot. Don't burn _____ .</p>,<p>yourself</p>
,<p>He washed and dressed _____ .</p>,<p>himself</p>
,<p>All my friends enjoyed _____ at my birthday party.</p>,<p>themselves</p>
,<p>Relax _____ when you dance.</p>,<p>-</p>
,<p>We usually paint the house _____ .</p>,<p>ourselves</p>
,<p>It is convenient to have an automatic cooker. It turns _____ on and off.</p>,<p>itself</p>
,"<p>If you don't want to make mistakes in your work, you should concentrate _____ .</p>",<p>-</p>
