HTML
<p>There's somebody _____ the door.</p>,1,one,
,<p>in</p>
*,<p>at</p>
,<p>on</p>
<p>There's somebody waiting _____ the bus stop.</p>,1,one,
,<p>in</p>
*,<p>at</p>
,<p>on</p>
<p>The leaves on the trees turn brown _____ Autumn.</p>,1,one,
*,<p>in</p>
,<p>at</p>
,<p>on</p>
<p>The English examination is _____ July.</p>,1,one,
*,<p>in</p>
,<p>at</p>
,<p>on</p>
<p>There are a few shops _____ the end of the street.</p>,1,one,
,<p>in</p>
*,<p>at</p>
,<p>on</p>
<p>Wolfgang met Michaela _____ the way to work.</p>,1,one,
,<p>in</p>
,<p>at</p>
*,<p>on</p>
<p>The banks close _____ 5 pm.</p>,1,one,
,<p>in</p>
*,<p>at</p>
,<p>on</p>
<p>This is the best cake _____ the world!</p>,1,one,
*,<p>in</p>
,<p>at</p>
,<p>on</p>
<p>Gerhard has some nice pictures hanging _____ his office wall.</p>,1,one,
,<p>in</p>
,<p>at</p>
*,<p>on</p>
<p>Julia goes to her fitness class. _____ Tuesdays.</p>,1,one,
,<p>in</p>
,<p>at</p>
*,<p>on</p>
